entityid,codpartidaabierta,fe,fv,plazofactura,vidafactura,daystodue,plazoconsumido,fec,fec_desde_fobs,rango_fec,lgd,pdriim,riim10,pdriim_norm,sector,tiposegmento,importe,log_importe,impacto,importe_norm,riim10_norm,score_fec,score,escala,plazo_consumido_adj
3661454.0,1.0185909000038131e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-3.0,12.0,-7-0,"0,0001","0,0245",7.0,"0,0571",COMERCIO,1.0,"23928,71","4,3789",1,"0,6783","0,3333","0,8","59,78",MUY ALTA,0.7321
4293409.0,1.0185909000038267e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0002","0,0067",9.0,"0,0085",COMERCIO,1.0,"337130,42","5,5278",1,"0,9089","0,1111","0,8","59,69",MUY ALTA,0.6720999999999999
2701975.0,1.0185909000040462e+17,2025-10-10,,45.0,31.0,14.0,0.6889,3.0,17.0,0-7,"0,0150","0,0275",7.0,"0,0653",INDUSTRIA,1.0,"5673,56","3,7539",1,"0,5528","0,3333",1,"59,68",MUY ALTA,0.6889
2701975.0,1.0185909000040458e+17,2025-08-20,,96.0,82.0,14.0,0.8542000000000001,6.0,20.0,0-7,"0,0160","0,0275",7.0,"0,0653",INDUSTRIA,1.0,"3110,44","3,4928",0,"0,5004","0,3333",1,"59,55",MUY ALTA,0.8542000000000001
2440680.0,1.0185909000039659e+17,2025-10-31,2025-10-12,40.0,10.0,30.0,0.25,-3.0,27.0,-7-0,"0,0001","0,0195",8.0,"0,0435",OTRAS_ACTIV_EMPR,1.0,"359360,46","5,5555",1,"0,9145","0,2222","0,8","59,33",MUY ALTA,0.25
2835031.0,1.0185909000037811e+17,2025-07-31,,112.0,102.0,10.0,0.9107,2.0,12.0,0-7,"0,0007","0,0278",7.0,"0,0661",INDUSTRIA,1.0,"2357,19","3,3724",0,"0,4762","0,3333",1,"59,30",MUY ALTA,0.9107
103659202.0,1.0185909000039138e+17,2025-10-31,,30.0,10.0,20.0,0.3333,0.0,20.0,0,"0,0002","0,0298",7.0,"0,0716",TRANSPORTE,1.0,"23526,02","4,3715",1,"0,6768","0,3333","0,95","59,19",MUY ALTA,0.3333
5152105.0,1.0185909000038805e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-2.0,18.0,-7-0,"0,0002","0,0295",7.0,"0,0708",COMERCIO,1.0,"74757,47","4,8737",1,"0,7776","0,3333","0,8","59,17",MUY ALTA,0.3333
107664295.0,1.0185909000039162e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0002","0,0274",7.0,"0,0651",,,"74482,69","4,8721",1,"0,7773","0,3333","0,8","59,16",MUY ALTA,0.3333
3224658.0,1.0185909000039382e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-2.0,18.0,-7-0,"0,0015","0,0151",8.0,"0,0315",TRANSPORTE,1.0,"251865,26","5,4012",1,"0,8835","0,2222","0,8","59,11",MUY ALTA,0.3333
3558265.0,1.0185909000034466e+17,2025-10-10,,51.0,31.0,20.0,0.6078,-2.0,18.0,-7-0,"0,0002","0,0185",8.0,"0,0408",COMERCIO,1.0,"96898,24","4,9863",1,"0,8002","0,2222","0,8","59,02",MUY ALTA,0.6078
2440680.0,1.0185909000034741e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,3.0,3.0,0-7,"0,0002","0,0195",8.0,"0,0435",OTRAS_ACTIV_EMPR,1.0,"5048,8","3,7032",1,"0,5426","0,2222",1,"58,78",MUY ALTA,1.0
106375063.0,1.0185909000038302e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-2.0,13.0,-7-0,"0,0002","0,028154077",7.0,"0,0671",,,"16396,91","4,2148",1,"0,6453","0,3333","0,8","58,66",MUY ALTA,0.7321
4243225.0,1.0185909000039534e+17,2025-10-31,,30.0,10.0,20.0,0.3333,1.0,21.0,0-7,"0,0009","0,0258",7.0,"0,0607",TRANSPORTE,1.0,"13156,73","4,1191",1,"0,6261","0,3333",1,"58,62",MUY ALTA,0.3333
105224618.0,1.0185909000040072e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-2.0,18.0,-7-0,"0,0002","0,0275",7.0,"0,0653",COMERCIO,1.0,"61984,64","4,7923",1,"0,7613","0,3333","0,8","58,62",MUY ALTA,0.3333
9200889.0,1.018590900003872e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0003","0,027",7.0,"0,0640",COMERCIO,1.0,"60856,1","4,7843",1,"0,7597","0,3333","0,8","58,56",MUY ALTA,0.3333
3731467.0,1.0185909000040462e+17,2025-10-14,2025-10-11,27.0,27.0,0.0,1.0,3.0,3.0,0-7,"0,0010","0,0192",8.0,"0,0427",INDUSTRIA,1.0,"4594,37","3,6622",1,"0,5344","0,2222",1,"58,50",MUY ALTA,1.0
2474259.0,1.0185909000037896e+17,2025-08-31,,86.0,71.0,15.0,0.8256,0.0,15.0,0,"0,0002","0,0214",8.0,"0,0487",COMERCIO,1.0,"12105,57","4,0830",1,"0,6189","0,2222","0,95","58,48",MUY ALTA,0.8256
2770830.0,1.0185909000038283e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-1.0,19.0,-7-0,"0,0001","0,0253",7.0,"0,0593",COMERCIO,1.0,"18470,96","4,2665",1,"0,6557","0,3333","0,8","58,42",MUY ALTA,0.6720999999999999
103177396.0,1.0185909000038226e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0002","0,0296",7.0,"0,0711",TRANSPORTE,1.0,"18351,17","4,2637",1,"0,6551","0,3333","0,8","58,40",MUY ALTA,0.6720999999999999
3286625.0,1.0185909000038251e+17,2025-09-30,,51.0,41.0,10.0,0.8039000000000001,-1.0,9.0,-7-0,"0,0001","0,0233",8.0,"0,0539",INDUSTRIA,1.0,"40250,47","4,6048",1,"0,7236","0,2222","0,8","58,38",MUY ALTA,0.8039000000000001
3346101.0,1.018590900003789e+17,2025-08-31,,86.0,71.0,15.0,0.8256,-2.0,13.0,-7-0,"0,0004","0,0257",7.0,"0,0604",TRANSPORTE,1.0,"10773,1","4,0323",1,"0,6087","0,3333","0,8","58,35",MUY ALTA,0.8256
3990610.0,1.0185909000038211e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-1.0,19.0,-7-0,"0,0004","0,0297",7.0,"0,0713",COMERCIO,1.0,"18043,3","4,2563",1,"0,6537","0,3333","0,8","58,35",MUY ALTA,0.6720999999999999
4828062.0,1.0185909000039635e+17,2025-10-31,,30.0,10.0,20.0,0.3333,0.0,20.0,0,"0,0001","0,0245",7.0,"0,0571",COMERCIO,1.0,"17335,21","4,2389",1,"0,6502","0,3333","0,95","58,29",MUY ALTA,0.3333
105686650.0,1.0185909000038155e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0002","0,0241",8.0,"0,0560",COMERCIO,1.0,"60035,54","4,7784",1,"0,7585","0,2222","0,8","58,24",MUY ALTA,0.6720999999999999
3706022.0,1.0185909000038867e+17,2025-10-31,,30.0,10.0,20.0,0.3333,2.0,22.0,0-7,"0,0001","0,0128",9.0,"0,0252",INDUSTRIA,1.0,"136951,66","5,1366",1,"0,8304","0,1111",1,"58,23",MUY ALTA,0.3333
111096563.0,1.0185909000039427e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0003","0,0268",7.0,"0,0634",COMERCIO,1.0,"54322,57","4,7350",1,"0,7498","0,3333","0,8","58,23",MUY ALTA,0.3333
4762551.0,1.0185909000038472e+17,2025-10-20,,31.0,21.0,10.0,0.6774,2.0,12.0,0-7,"0,0011","0,0256",7.0,"0,0601",COMERCIO,1.0,"3600,25","3,5563",1,"0,5131","0,3333",1,"58,22",MUY ALTA,0.6774
2625147.0,1.0185909000038246e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0001","0,0234",8.0,"0,0541",OTRAS_ACTIV_EMPR,1.0,"59191,13","4,7723",1,"0,7573","0,2222","0,8","58,20",MUY ALTA,0.6720999999999999
4066392.0,1.0185909000034502e+17,2025-11-06,,24.0,4.0,20.0,0.16670000000000001,-1.0,19.0,-7-0,"0,0002","0,0227",8.0,"0,0522",POCA_COB,1.0,"307340,69","5,4876",1,"0,9009","0,2222","0,8","58,03",MUY ALTA,0.16670000000000001
2635437.0,1.018590900003826e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0004","0,0152",8.0,"0,0317",COMERCIO,1.0,"55318,78","4,7429",1,"0,7514","0,2222","0,8","58,00",MUY ALTA,0.6720999999999999
4732355.0,1.0185909000039845e+17,2025-10-31,,30.0,10.0,20.0,0.3333,2.0,22.0,0-7,"0,0004","0,0268",7.0,"0,0634",COMERCIO,1.0,"10523,73","4,0222",1,"0,6067","0,3333",1,"57,96",MUY ALTA,0.3333
2589173.0,1.018590900003798e+17,2025-09-10,2025-10-11,61.0,61.0,0.0,1.0,2.0,2.0,0-7,"0,0007","0,0511",5.0,"0,1298",INDUSTRIA,1.0,"1415,7","3,1510",0,"0,4318","0,5556",1,"66,01",MUY ALTA,1.0
3099302.0,1.0185909000038144e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,2.0,2.0,0-7,"0,0007","0,0511",5.0,"0,1298",EXCLUIDA,3.0,"1170,33","3,0683",0,"0,4152","0,5556",1,"65,45",MUY ALTA,1.0
3099302.0,1.0185909000038144e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,2.0,2.0,0-7,"0,0008","0,0511",5.0,"0,1298",EXCLUIDA,3.0,"205,02","2,3118",0,"0,2633","0,5556",1,"60,28",MUY ALTA,1.0
3099302.0,1.0185909000038067e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,2.0,2.0,0-7,"0,0008","0,0511",5.0,"0,1298",EXCLUIDA,3.0,"122,16","2,0869",0,"0,2181","0,5556",1,"58,75",MUY ALTA,1.0
103528626.0,1.0185909000038293e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-2.0,13.0,-7-0,"0,0001","0,0299",7.0,"0,0719",TRANSPORTE,1.0,"12391,84","4,0931",1,"0,6209","0,3333","0,8","57,83",MUY ALTA,0.7321
101773420.0,1.0185909000039078e+17,2025-10-31,,30.0,10.0,20.0,0.3333,5.0,25.0,0-7,"0,0051","0,1521",1.0,"0,4056",COMERCIO,2.0,"91565,46","4,9617",1,"0,7953","1,0000",1,"86,37",MUY ALTA,0.3333
120515913.0,1.0185909000039288e+17,2025-10-31,,30.0,10.0,20.0,0.3333,6.0,26.0,0-7,"0,0062","0,1552",1.0,"0,4140",,2.0,"71282,85","4,8530",1,"0,7735","1,0000",1,"85,63",MUY ALTA,0.3333
112579402.0,1.0185909000040462e+17,2025-10-15,2025-10-11,26.0,26.0,0.0,1.0,3.0,3.0,0-7,"0,0008","0,0666",4.0,"0,1721",TRANSPORTE,2.0,5000,"3,6990",1,"0,5418","0,6667",1,"73,42",MUY ALTA,1.0
3040273.0,1.0185909000038416e+17,2025-10-10,2025-10-11,31.0,31.0,0.0,1.0,3.0,3.0,0-7,"0,0007","0,0658",4.0,"0,1699",COMERCIO,2.0,"21259,7","4,3276",1,"0,6680","0,6667",1,"77,71",MUY ALTA,1.0
5093199.0,1.0185909000040462e+17,2025-10-15,2025-08-11,24.0,26.0,-2.0,1.0833,5.0,3.0,0-7,"0,0039","0,0473",6.0,"0,1194",COMERCIO,1.0,"1508,65","3,1786",0,"0,4373","0,4444",1,"52,53",MUY ALTA,0.0
102574138.0,1.018590900004046e+17,2025-09-26,2025-07-11,42.0,45.0,-3.0,1.0714,6.0,3.0,0-7,"0,0004","0,0422",6.0,"0,1055",COMERCIO,1.0,"50613,2","4,7043",1,"0,7436","0,4444",1,"62,95",MUY ALTA,0.0
104200409.0,1.0185909000040469e+17,2025-11-04,2025-10-11,6.0,6.0,0.0,1.0,3.0,3.0,0-7,"0,0042","0,0334",6.0,"0,0814",COMERCIO,1.0,"117,48","2,0700",0,"0,2147","0,4444",1,"54,97",MUY ALTA,1.0
2324783.0,1.0185909000038267e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-3.0,12.0,-7-0,"0,0001","0,0249",7.0,"0,0582",COMERCIO,1.0,"12220,72","4,0871",1,"0,6197","0,3333","0,8","57,79",MUY ALTA,0.7321
2553728.0,1.0185909000038269e+17,2025-09-30,,51.0,41.0,10.0,0.8039000000000001,-2.0,8.0,-7-0,"0,0002","0,0244",7.0,"0,0569",COMERCIO,1.0,"9461,67","3,9760",1,"0,5974","0,3333","0,8","57,75",MUY ALTA,0.8039000000000001
2654932.0,1.0185909000039003e+17,2025-10-31,,30.0,10.0,20.0,0.3333,0.0,20.0,0,"0,0002","0,0243",8.0,"0,0566",COMERCIO,1.0,"49356,29","4,6933",1,"0,7414","0,2222","0,95","57,72",MUY ALTA,0.3333
2685200.0,1.0185909000038134e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,1.0,21.0,0-7,"0,0002","0,0156",8.0,"0,0328",COMERCIO,1.0,"10543,66","4,0230",1,"0,6068","0,2222",1,"57,69",MUY ALTA,0.6720999999999999
3947343.0,1.018590900004022e+17,2025-10-31,2025-01-12,31.0,10.0,21.0,0.3226,-1.0,20.0,-7-0,"0,0010","0,0262",7.0,"0,0618",COMERCIO,1.0,"46912,49","4,6713",1,"0,7370","0,3333","0,8","57,68",MUY ALTA,0.3226
4549002.0,1.0185909000038222e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,-2.0,18.0,-7-0,"0,0004","0,0215",8.0,"0,0489",OTROS_SERVICIOS,1.0,"49572,67","4,6952",1,"0,7418","0,2222","0,8","57,68",MUY ALTA,0.6720999999999999
2497623.0,1.0185909000038003e+17,2025-09-15,2025-01-12,77.0,56.0,21.0,0.7273000000000001,0.0,21.0,0,"0,0002","0,0281",7.0,"0,0670",COMERCIO,1.0,"3472,7","3,5407",1,"0,5100","0,3333","0,95","57,46",MUY ALTA,0.7273000000000001
2440680.0,1.0185909000034741e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,3.0,3.0,0-7,"0,0007","0,0195",8.0,"0,0435",OTRAS_ACTIV_EMPR,1.0,"3118,94","3,4940",0,"0,5006","0,2222",1,"57,35",MUY ALTA,1.0
4587651.0,1.0185909000038248e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,0.0,20.0,0,"0,0003","0,0248",7.0,"0,0580",COMERCIO,1.0,"3895,09","3,5905",1,"0,5200","0,3333","0,95","57,25",MUY ALTA,0.6720999999999999
4368472.0,1.0185909000040054e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0002","0,0263",7.0,"0,0621",COMERCIO,1.0,"38630,44","4,5869",1,"0,7200","0,3333","0,8","57,21",MUY ALTA,0.3333
1999959.0,1.0185909000039515e+17,2025-10-31,2025-10-12,40.0,10.0,30.0,0.25,2.0,32.0,0-7,"0,0002","0,0275",7.0,"0,0653",COMERCIO,1.0,"10828,01","4,0345",1,"0,6091","0,3333",1,"57,21",MUY ALTA,0.25
2386311.0,1.0185909000038131e+17,2025-09-30,,61.0,41.0,20.0,0.6720999999999999,1.0,21.0,0-7,"0,0027","0,1052",3.0,"0,2775",COMERCIO,4.0,"132560,32","5,1224",1,"0,8276","0,7778",1,"83,52",MUY ALTA,0.6720999999999999
3040273.0,1.0185909000038403e+17,2025-10-09,2025-09-11,31.0,32.0,-1.0,1.0323,5.0,4.0,0-7,"0,0039","0,0658",4.0,"0,1699",COMERCIO,2.0,"607,42","2,7835",0,"0,3580","0,6667",1,"57,17",MUY ALTA,0.0
105344317.0,1.0185909000034458e+17,2025-07-08,2025-10-12,155.0,125.0,30.0,0.8065000000000001,-3.0,27.0,-7-0,"0,0002","0,0242",8.0,"0,0563",TRANSPORTE,1.0,"26440,76","4,4223",1,"0,6870","0,2222","0,8","57,16",MUY ALTA,0.8065000000000001
2099083.0,1.018590900003828e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-3.0,12.0,-7-0,"0,0003","0,0174",8.0,"0,0378",COMERCIO,1.0,"33529,76","4,5254",1,"0,7077","0,2222","0,8","57,12",MUY ALTA,0.7321
4837856.0,1.0185909000039582e+17,2025-10-31,,30.0,10.0,20.0,0.3333,1.0,21.0,0-7,"0,0008","0,0281",7.0,"0,0670",OTRAS_ACTIV_EMPR,1.0,"7831,09","3,8938",1,"0,5809","0,3333",1,"57,08",MUY ALTA,0.3333
4305150.0,1.0185909000037861e+17,2025-08-31,,91.0,71.0,20.0,0.7802,-2.0,18.0,-7-0,"0,0049","0,0203",8.0,"0,0457",OTROS_SERVICIOS,1.0,"27431,88","4,4383",1,"0,6902","0,2222","0,8","57,00",MUY ALTA,0.7802
4368472.0,1.0185909000040054e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-3.0,17.0,-7-0,"0,0002","0,0263",7.0,"0,0621",COMERCIO,1.0,"35648,61","4,5520",1,"0,7130","0,3333","0,8","56,98",MUY ALTA,0.3333
119215190.0,1.0185909000039064e+17,2025-10-31,,30.0,10.0,20.0,0.3333,-5.0,15.0,-7-0,"0,0006","0,028310336",7.0,"0,0675",,,"35017,36","4,5443",1,"0,7115","0,3333","0,8","56,92",MUY ALTA,0.3333
101870890.0,1.018590900003787e+17,2025-08-31,,91.0,71.0,20.0,0.7802,4.0,24.0,0-7,"0,0029","0,02803053",7.0,"0,0668",Mecânica e precisão,1.0,"1637,45","3,2142",0,"0,4444","0,3333",1,"56,91",MUY ALTA,0.7802
5342979.0,1.0185909000038302e+17,2025-09-30,2025-10-11,41.0,41.0,0.0,1.0,1.0,1.0,0-7,"0,0007","0,0284",7.0,"0,0678",INDUSTRIA,1.0,"770,96","2,8870",0,"0,3788","0,3333",1,"56,88",MUY ALTA,1.0
1748365.0,1.018590900003791e+17,2025-08-31,2025-05-11,66.0,71.0,-5.0,1.0758,10.0,5.0,7-15,"0,0006","0,0626",4.0,"0,1612",INDUSTRIA,1.0,"6253,43","3,7961",1,"0,5613","0,6667","0,9","61,78",MUY ALTA,0.0
3638674.0,1.0185909000038198e+17,2025-09-30,,56.0,41.0,15.0,0.7321,-3.0,12.0,-7-0,"0,0002","0,0268",7.0,"0,0634",COMERCIO,1.0,"8794,23","3,9442",1,"0,5910","0,3333","0,8","56,82",MUY ALTA,0.7321
